z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,O2,H2O,H,O,OH,HO2,H2O2,N2 
0.01080322265625,12.083240548579225,0.0,1761.3521454355061,0.16147662956356973,0.0035795388602571704,0.034823288820590714,0.19940607314514824,0.0013790538330271675,0.005469540664542199,0.010454797386974768,1.509922856165097e-05,1.1367966830912083e-05,0.7448612400905212
0.0108046875,12.094640299119904,0.0,1763.1579703216842,0.16132443046945988,0.0035749867161840292,0.034712253183226766,0.1995123191462947,0.0013746897418620025,0.0054587928478833925,0.010474557459985535,1.5024370768183823e-05,1.1320699105485133e-05,0.7448660558311397
0.01080615234375,12.10595864595107,0.0,1764.9517144301824,0.16117360178156231,0.0035705252221101555,0.03460299817613554,0.19961713333537884,0.0013703410204152576,0.0054480230158305085,0.010494004842281081,1.495057207934853e-05,1.1273341566770577e-05,0.7448707504706482
0.0108076171875,12.11719651370662,0.0,1766.7335077343862,0.16102412433252106,0.003566151364444368,0.034495478981463296,0.19972055363895685,0.0013660079699191622,0.0054372329934537274,0.010513144203981658,1.4877806387699717e-05,1.1225907426064563e-05,0.7448753271304087
0.01080908203125,12.128354812544679,0.0,1768.5034782423047,0.1608759793178766,0.003561862224889858,0.03438965199235198,0.1998226168775118,0.001361690874878935,0.0054264245551871515,0.010531980161228558,1.4806048388845392e-05,1.1178409491236928e-05,0.7448797888525092
0.010810546875,12.139434438364818,0.0,1770.2617520264423,0.16072914828837512,0.0035576549777387727,0.03428547478383388,0.19992335879486384,0.0013573900036389659,0.005415599426026164,0.01055051727555284,1.4735273556013201e-05,1.1130860173577105e-05,0.7448841386010493
0.01081201171875,12.15043627302214,0.0,1772.008453253192,0.16058361314246092,0.003553526887229513,0.03418290608425593,0.20002281408695066,0.0013531056089339905,0.0054047592826936275,0.010568760053341104,1.4665458115316748e-05,1.108327149464877e-05,0.7448883792634144
0.0108134765625,12.161361184537888,0.0,1773.7437042117376,0.16043935611895288,0.0035494753049660865,0.034081905747234964,0.20012101642996163,0.001348837928425483,0.005393905754774955,0.010586712945394856,1.4596579021694963e-05,1.1035655093105464e-05,0.7448925136515523
0.01081494140625,12.17221002730758,0.0,1775.4676253424607,0.160296359789897,0.0035454976673993236,0.03398243472415105,0.20021799850784186,0.0013445871852235732,0.005383040425823451,0.010604380346581246,1.452861393549473e-05,1.0988022231409863e-05,0.7448965445032336
0.01081640625,12.182983642304784,0.0,1777.1803352648417,0.16015460705359533,0.003541591493369027,0.03388445503717854,0.20031379203916186,0.0013403535883944478,0.005372164834435999,0.010621766595572535,1.4461541199664294e-05,1.0940383802387184e-05,0.7449004744833025
0.01081787109375,12.193682857282433,0.0,1778.8819508048493,0.1600140811278062,0.0035377543817066053,0.03378792975285965,0.2004084278033444,0.0013361373334537174,0.005361280475299987,0.01063887597467241,1.4395339817521092e-05,1.0892750335527121e-05,0.7449043061849231
0.0108193359375,12.204308486970191,0.0,1780.5725870218089,0.15987476554311336,0.0035339840088974843,0.03369282295621954,0.2005019356662715,0.0013319386028457748,0.0053503888002118015,0.010655712709727545,1.4329989431054394e-05,1.0845132002924933e-05,0.7449080421308012
0.01082080078125,12.214861333268075,0.0,1782.2523572347422,0.15973664413646052,0.0035302781268025866,0.0335990997254247,0.20059434460525563,0.0013277575664094113,0.0053394912190671325,0.010672280970123491,1.4265470299720473e-05,1.0797538624724514e-05,0.7449116847743974
0.010822265625,12.225342185437086,0.0,1783.9213730481727,0.15959970104484875,0.003526634560438215,0.03350672610698341,0.20068568273338763,0.0013235943818299665,0.005328589100823519,0.010688584868863933,1.4201763279685047e-05,1.0749979673884955e-05,0.7449152365011205
